Order_Date,Category,Sub_Category,Region,Sales_USD,Profit_USD,Discount_Pct,Profit_Margin_Pct,Predicted_Margin,Margin_Error
2021-05-26,Office Supplies,Envelopes,West,70.79,1.71,0.2,2.41,4.55,2.14
2024-10-02,Office Supplies,Labels,South,56.25,3.51,0.2,6.24,6.08,0.16
2022-03-02,Furniture,Storage,South,70.78,0.11,0.0,0.16,1.11,0.95
2021-10-19,Office Supplies,Paper,South,113.65,30.0,0.0,26.4,26.17,0.23
2021-01-20,Office Supplies,Envelopes,South,198.64,-7.11,0.3,-3.58,-1.67,1.91
2022-10-05,Technology,Copiers,East,505.7,95.43,0.0,18.87,18.23,0.64
2024-01-08,Office Supplies,Envelopes,West,547.28,100.81,0.0,18.42,18.01,0.41
2021-05-10,Furniture,Tables,East,247.37,25.28,0.0,10.22,10.39,0.17
2023-05-07,Office Supplies,Envelopes,West,984.58,-11.91,0.3,-1.21,0.43,1.64
2023-12-01,Technology,Copiers,South,244.72,48.33,0.0,19.75,20.64,0.89
2022-06-26,Technology,Accessories,West,792.33,-5.47,0.2,-0.69,-0.8,0.11
2021-06-24,Furniture,Storage,West,402.36,-33.07,0.2,-8.22,-7.22,1.0
2022-10-04,Furniture,Bookcases,West,393.75,24.26,0.0,6.16,6.49,0.33
2023-02-28,Office Supplies,Binders,South,258.54,17.81,0.2,6.89,5.86,1.03
2024-06-26,Technology,Copiers,West,34.03,6.64,0.0,19.5,20.66,1.16
2022-02-02,Furniture,Tables,Central,127.62,12.98,0.0,10.17,9.91,0.26
2022-12-09,Office Supplies,Binders,South,140.42,31.43,0.0,22.38,21.13,1.25
2023-10-24,Technology,Accessories,East,133.57,-17.84,0.4,-13.36,-15.38,2.02
2021-08-05,Technology,Computers,West,97.87,20.81,0.0,21.26,22.26,1.0
2023-07-16,Technology,Accessories,West,1136.7,110.94,0.1,9.76,9.52,0.24
2024-01-17,Furniture,Tables,West,211.68,-62.87,0.5,-29.7,-30.85,1.15
2024-04-06,Office Supplies,Binders,Central,497.58,68.96,0.1,13.86,14.08,0.22
2021-11-18,Technology,Phones,South,222.9,1.67,0.2,0.75,1.61,0.86
2022-07-19,Furniture,Bookcases,Central,87.05,-5.56,0.2,-6.39,-7.3,0.91
2023-10-13,Furniture,Storage,West,347.82,-25.67,0.2,-7.38,-8.82,1.44
2021-05-16,Office Supplies,Envelopes,South,519.85,47.72,0.1,9.18,9.36,0.18
2024-08-02,Technology,Phones,South,310.8,68.07,0.0,21.9,21.03,0.87
2021-01-08,Furniture,Storage,West,318.19,28.26,0.0,8.88,8.17,0.71
2021-12-13,Furniture,Tables,East,363.19,-21.07,0.2,-5.8,-6.75,0.95
2023-03-04,Technology,Copiers,South,146.93,-1.29,0.2,-0.88,0.22,1.1
2024-07-26,Office Supplies,Pens,East,102.45,22.3,0.0,21.77,22.11,0.34
2021-12-03,Office Supplies,Pens,East,139.27,11.91,0.2,8.55,8.94,0.39
2022-02-13,Office Supplies,Envelopes,Central,449.02,98.65,0.0,21.97,22.16,0.19
2024-11-07,Furniture,Bookcases,South,14.67,-3.31,0.4,-22.58,-22.65,0.07
2022-06-29,Technology,Copiers,Central,119.45,21.11,0.0,17.67,15.92,1.75
2024-12-16,Furniture,Bookcases,East,367.25,2.53,0.1,0.69,-0.12,0.81
2022-03-09,Furniture,Bookcases,Central,114.99,10.75,0.0,9.35,11.13,1.78
2024-03-11,Furniture,Bookcases,East,615.39,-138.16,0.4,-22.45,-18.6,3.85
2023-09-09,Technology,Copiers,South,161.64,21.53,0.0,13.32,15.32,2.0
2021-02-24,Office Supplies,Binders,East,244.69,50.8,0.0,20.76,20.84,0.08
2024-11-10,Furniture,Bookcases,East,241.06,15.38,0.0,6.38,7.16,0.78
2023-11-27,Office Supplies,Envelopes,East,25.92,5.3,0.1,20.43,21.06,0.63
2023-12-23,Technology,Computers,South,386.15,54.37,0.0,14.08,12.09,1.99
2021-09-11,Furniture,Chairs,East,996.21,-182.51,0.3,-18.32,-16.66,1.66
2023-08-18,Technology,Accessories,East,92.25,17.35,0.0,18.81,21.05,2.24
2021-01-22,Technology,Computers,West,173.21,37.76,0.0,21.8,21.09,0.71
2022-11-10,Furniture,Storage,West,39.67,2.52,0.0,6.35,7.45,1.1
2023-07-03,Technology,Accessories,East,297.02,4.78,0.2,1.61,1.14,0.47
2024-10-10,Furniture,Storage,West,242.55,-15.28,0.2,-6.3,-6.15,0.15
2024-04-13,Office Supplies,Envelopes,South,349.19,51.26,0.1,14.68,14.41,0.27
2022-07-05,Office Supplies,Binders,West,326.22,63.12,0.0,19.35,18.65,0.7
2021-02-03,Technology,Accessories,East,354.66,73.24,0.0,20.65,20.19,0.46
2021-02-27,Furniture,Bookcases,West,215.58,-13.82,0.2,-6.41,-6.59,0.18
2024-12-17,Technology,Phones,West,109.4,22.14,0.0,20.24,20.85,0.61
