Date,Actual_Revenue,Predicted_Revenue,Lower_CI_95,Upper_CI_95,Model,Is_Forecast
2021-01-04,5149.01,5279.87,4879.87,5679.87,XGBoost + Prophet Ensemble,False
2021-01-11,5125.16,5237.71,4835.21,5640.21,XGBoost + Prophet Ensemble,False
2021-01-18,5526.78,5153.78,4748.78,5558.78,XGBoost + Prophet Ensemble,False
2021-01-25,5953.64,5595.21,5187.71,6002.71,XGBoost + Prophet Ensemble,False
2021-02-01,5588.36,5512.4,5102.4,5922.4,XGBoost + Prophet Ensemble,False
2021-02-08,5747.1,5935.4,5522.9,6347.9,XGBoost + Prophet Ensemble,False
2021-02-15,6445.95,6145.98,5730.98,6560.98,XGBoost + Prophet Ensemble,False
2021-02-22,6352.66,5999.33,5581.83,6416.83,XGBoost + Prophet Ensemble,False
2021-03-01,6126.54,6411.89,5991.89,6831.89,XGBoost + Prophet Ensemble,False
2021-03-08,6569.14,6468.29,6045.79,6890.79,XGBoost + Prophet Ensemble,False
2021-03-15,6399.78,6662.11,6237.11,7087.11,XGBoost + Prophet Ensemble,False
2021-03-22,6524.37,6948.6,6521.1,7376.1,XGBoost + Prophet Ensemble,False
2021-03-29,6854.29,6744.89,6314.89,7174.89,XGBoost + Prophet Ensemble,False
2021-04-05,6317.19,6778.11,6345.61,7210.61,XGBoost + Prophet Ensemble,False
2021-04-12,6474.6,6858.65,6423.65,7293.65,XGBoost + Prophet Ensemble,False
2021-04-19,6915.36,6961.68,6524.18,7399.18,XGBoost + Prophet Ensemble,False
2021-04-26,6862.93,7155.21,6715.21,7595.21,XGBoost + Prophet Ensemble,False
2021-05-03,7334.3,7291.19,6848.69,7733.69,XGBoost + Prophet Ensemble,False
2021-05-10,7031.19,7345.1,6900.1,7790.1,XGBoost + Prophet Ensemble,False
2021-05-17,6933.68,7481.45,7033.95,7928.95,XGBoost + Prophet Ensemble,False
2021-05-24,7841.0,7403.25,6953.25,7853.25,XGBoost + Prophet Ensemble,False
2021-05-31,7367.66,7653.42,7200.92,8105.92,XGBoost + Prophet Ensemble,False
2021-06-07,7479.97,7420.01,6965.01,7875.01,XGBoost + Prophet Ensemble,False
2021-06-14,7046.97,7882.42,7424.92,8339.92,XGBoost + Prophet Ensemble,False
2021-06-21,7316.34,7573.5,7113.5,8033.5,XGBoost + Prophet Ensemble,False
2021-06-28,7509.02,7347.17,6884.67,7809.67,XGBoost + Prophet Ensemble,False
2021-07-05,7117.68,7302.35,6837.35,7767.35,XGBoost + Prophet Ensemble,False
2021-07-12,7554.46,7514.12,7046.62,7981.62,XGBoost + Prophet Ensemble,False
2021-07-19,7232.3,7378.98,6908.98,7848.98,XGBoost + Prophet Ensemble,False
2021-07-26,7288.19,7482.8,7010.3,7955.3,XGBoost + Prophet Ensemble,False
2021-08-02,7151.39,7402.88,6927.88,7877.88,XGBoost + Prophet Ensemble,False
2021-08-09,7837.36,7270.75,6793.25,7748.25,XGBoost + Prophet Ensemble,False
2021-08-16,7221.62,7098.65,6618.65,7578.65,XGBoost + Prophet Ensemble,False
2021-08-23,6847.21,6937.3,6454.8,7419.8,XGBoost + Prophet Ensemble,False
2021-08-30,7345.72,7031.98,6546.98,7516.98,XGBoost + Prophet Ensemble,False
2021-09-06,6663.44,7158.15,6670.65,7645.65,XGBoost + Prophet Ensemble,False
2021-09-13,7020.13,6989.58,6499.58,7479.58,XGBoost + Prophet Ensemble,False
2021-09-20,6295.17,6696.21,6203.71,7188.71,XGBoost + Prophet Ensemble,False
2021-09-27,6408.82,6833.26,6338.26,7328.26,XGBoost + Prophet Ensemble,False
2021-10-04,6789.95,6788.69,6291.19,7286.19,XGBoost + Prophet Ensemble,False
2021-10-11,6876.24,6522.12,6022.12,7022.12,XGBoost + Prophet Ensemble,False
2021-10-18,6630.92,6602.56,6100.06,7105.06,XGBoost + Prophet Ensemble,False
2021-10-25,6471.4,6514.83,6009.83,7019.83,XGBoost + Prophet Ensemble,False
2021-11-01,6344.93,6263.81,5756.31,6771.31,XGBoost + Prophet Ensemble,False
2021-11-08,5924.19,6421.42,5911.42,6931.42,XGBoost + Prophet Ensemble,False
2021-11-15,6088.35,6388.42,5875.92,6900.92,XGBoost + Prophet Ensemble,False
2021-11-22,6107.45,6408.1,5893.1,6923.1,XGBoost + Prophet Ensemble,False
2021-11-29,6509.58,6350.52,5833.02,6868.02,XGBoost + Prophet Ensemble,False
2021-12-06,6248.45,5938.71,5418.71,6458.71,XGBoost + Prophet Ensemble,False
2021-12-13,5576.08,5964.32,5441.82,6486.82,XGBoost + Prophet Ensemble,False
2021-12-20,6169.13,6149.16,5624.16,6674.16,XGBoost + Prophet Ensemble,False
2021-12-27,5931.08,6123.67,5596.17,6651.17,XGBoost + Prophet Ensemble,False
2022-01-03,5826.48,6106.81,5576.81,6636.81,XGBoost + Prophet Ensemble,False
2022-01-10,6204.68,6599.09,6066.59,7131.59,XGBoost + Prophet Ensemble,False
2022-01-17,6331.11,6107.45,5572.45,6642.45,XGBoost + Prophet Ensemble,False
2022-01-24,6311.14,6202.09,5664.59,6739.59,XGBoost + Prophet Ensemble,False
2022-01-31,5799.47,6194.34,5654.34,6734.34,XGBoost + Prophet Ensemble,False
2022-02-07,5987.66,6178.14,5635.64,6720.64,XGBoost + Prophet Ensemble,False
2022-02-14,6218.81,6072.14,5527.14,6617.14,XGBoost + Prophet Ensemble,False
2022-02-21,6460.95,6282.13,5734.63,6829.63,XGBoost + Prophet Ensemble,False
2022-02-28,6083.22,6111.05,5561.05,6661.05,XGBoost + Prophet Ensemble,False
2022-03-07,6239.7,6259.88,5707.38,6812.38,XGBoost + Prophet Ensemble,False
2022-03-14,6041.51,6300.61,5745.61,6855.61,XGBoost + Prophet Ensemble,False
2022-03-21,6101.94,6473.08,5915.58,7030.58,XGBoost + Prophet Ensemble,False
2022-03-28,6801.04,6904.48,6344.48,7464.48,XGBoost + Prophet Ensemble,False
2022-04-04,7069.39,6382.43,5819.93,6944.93,XGBoost + Prophet Ensemble,False
2022-04-11,6754.51,6879.06,6314.06,7444.06,XGBoost + Prophet Ensemble,False
2022-04-18,7198.69,6655.72,6088.22,7223.22,XGBoost + Prophet Ensemble,False
2022-04-25,7135.04,6955.76,6385.76,7525.76,XGBoost + Prophet Ensemble,False
2022-05-02,6968.8,7325.68,6753.18,7898.18,XGBoost + Prophet Ensemble,False
2022-05-09,7412.81,7314.03,6739.03,7889.03,XGBoost + Prophet Ensemble,False
2022-05-16,7913.48,7290.41,6712.91,7867.91,XGBoost + Prophet Ensemble,False
2022-05-23,7593.96,7497.41,6917.41,8077.41,XGBoost + Prophet Ensemble,False
2022-05-30,8230.98,7863.53,7281.03,8446.03,XGBoost + Prophet Ensemble,False
2022-06-06,7136.07,7812.43,7227.43,8397.43,XGBoost + Prophet Ensemble,False
2022-06-13,8331.72,8117.62,7530.12,8705.12,XGBoost + Prophet Ensemble,False
2022-06-20,8276.41,8257.13,7667.13,8847.13,XGBoost + Prophet Ensemble,False
2022-06-27,8326.93,8318.89,7726.39,8911.39,XGBoost + Prophet Ensemble,False
2022-07-04,8610.9,8904.96,8309.96,9499.96,XGBoost + Prophet Ensemble,False
2022-07-11,8153.44,8844.8,8247.3,9442.3,XGBoost + Prophet Ensemble,False
2022-07-18,8848.95,8611.08,8011.08,9211.08,XGBoost + Prophet Ensemble,False
2022-07-25,9185.14,9105.98,8503.48,9708.48,XGBoost + Prophet Ensemble,False
2022-08-01,9681.78,9139.14,8534.14,9744.14,XGBoost + Prophet Ensemble,False
2022-08-08,9239.82,9523.16,8915.66,10130.66,XGBoost + Prophet Ensemble,False
2022-08-15,9305.38,9429.05,8819.05,10039.05,XGBoost + Prophet Ensemble,False
2022-08-22,9545.08,9678.4,9065.9,10290.9,XGBoost + Prophet Ensemble,False
2022-08-29,10112.28,9913.41,9298.41,10528.41,XGBoost + Prophet Ensemble,False
2022-09-05,10072.07,10103.31,9485.81,10720.81,XGBoost + Prophet Ensemble,False
2022-09-12,9943.44,9922.33,9302.33,10542.33,XGBoost + Prophet Ensemble,False
2022-09-19,10377.86,10173.71,9551.21,10796.21,XGBoost + Prophet Ensemble,False
2022-09-26,10366.61,10266.24,9641.24,10891.24,XGBoost + Prophet Ensemble,False
2022-10-03,10733.31,10344.72,9717.22,10972.22,XGBoost + Prophet Ensemble,False
2022-10-10,10328.58,10804.02,10174.02,11434.02,XGBoost + Prophet Ensemble,False
2022-10-17,10528.29,10687.33,10054.83,11319.83,XGBoost + Prophet Ensemble,False
2022-10-24,10586.97,10515.47,9880.47,11150.47,XGBoost + Prophet Ensemble,False
2022-10-31,10333.97,10910.7,10273.2,11548.2,XGBoost + Prophet Ensemble,False
2022-11-07,10920.55,11150.03,10510.03,11790.03,XGBoost + Prophet Ensemble,False
2022-11-14,10958.88,11035.44,10392.94,11677.94,XGBoost + Prophet Ensemble,False
2022-11-21,10921.11,10691.67,10046.67,11336.67,XGBoost + Prophet Ensemble,False
2022-11-28,10878.39,10876.13,10228.63,11523.63,XGBoost + Prophet Ensemble,False
2022-12-05,10543.63,11158.28,10508.28,11808.28,XGBoost + Prophet Ensemble,False
2022-12-12,10851.99,10872.04,10219.54,11524.54,XGBoost + Prophet Ensemble,False
2022-12-19,10876.01,11045.4,10390.4,11700.4,XGBoost + Prophet Ensemble,False
2022-12-26,10729.76,11086.64,10429.14,11744.14,XGBoost + Prophet Ensemble,False
2023-01-02,10905.01,10814.36,10154.36,11474.36,XGBoost + Prophet Ensemble,False
2023-01-09,11049.31,10919.17,10256.67,11581.67,XGBoost + Prophet Ensemble,False
2023-01-16,11460.86,10408.82,9743.82,11073.82,XGBoost + Prophet Ensemble,False
2023-01-23,10907.01,10700.98,10033.48,11368.48,XGBoost + Prophet Ensemble,False
2023-01-30,10884.82,10769.67,10099.67,11439.67,XGBoost + Prophet Ensemble,False
2023-02-06,10732.02,10567.19,9894.69,11239.69,XGBoost + Prophet Ensemble,False
2023-02-13,10120.06,10940.56,10265.56,11615.56,XGBoost + Prophet Ensemble,False
2023-02-20,10624.3,10417.73,9740.23,11095.23,XGBoost + Prophet Ensemble,False
2023-02-27,10582.81,10498.73,9818.73,11178.73,XGBoost + Prophet Ensemble,False
2023-03-06,11232.87,10513.51,9831.01,11196.01,XGBoost + Prophet Ensemble,False
2023-03-13,10362.79,10636.69,9951.69,11321.69,XGBoost + Prophet Ensemble,False
2023-03-20,10435.77,10129.92,9442.42,10817.42,XGBoost + Prophet Ensemble,False
2023-03-27,10258.7,10443.58,9753.58,11133.58,XGBoost + Prophet Ensemble,False
2023-04-03,9842.12,10194.25,9501.75,10886.75,XGBoost + Prophet Ensemble,False
2023-04-10,10459.77,9969.7,9274.7,10664.7,XGBoost + Prophet Ensemble,False
2023-04-17,10268.11,10111.85,9414.35,10809.35,XGBoost + Prophet Ensemble,False
2023-04-24,10207.62,10000.17,9300.17,10700.17,XGBoost + Prophet Ensemble,False
2023-05-01,9628.22,9811.01,9108.51,10513.51,XGBoost + Prophet Ensemble,False
2023-05-08,10256.31,9845.94,9140.94,10550.94,XGBoost + Prophet Ensemble,False
2023-05-15,9353.78,9716.54,9009.04,10424.04,XGBoost + Prophet Ensemble,False
2023-05-22,9894.38,9735.35,9025.35,10445.35,XGBoost + Prophet Ensemble,False
2023-05-29,10325.24,9767.42,9054.92,10479.92,XGBoost + Prophet Ensemble,False
2023-06-05,9327.14,9862.2,9147.2,10577.2,XGBoost + Prophet Ensemble,False
2023-06-12,9417.61,9401.83,8684.33,10119.33,XGBoost + Prophet Ensemble,False
2023-06-19,9588.14,9878.2,9158.2,10598.2,XGBoost + Prophet Ensemble,False
2023-06-26,9385.98,9244.21,8521.71,9966.71,XGBoost + Prophet Ensemble,False
2023-07-03,,9501.49,8776.49,10226.49,XGBoost + Prophet Ensemble,True
2023-07-10,,9608.6,8881.1,10336.1,XGBoost + Prophet Ensemble,True
2023-07-17,,9567.75,8837.75,10297.75,XGBoost + Prophet Ensemble,True
2023-07-24,,9446.89,8714.39,10179.39,XGBoost + Prophet Ensemble,True
2023-07-31,,9533.39,8798.39,10268.39,XGBoost + Prophet Ensemble,True
2023-08-07,,9524.75,8787.25,10262.25,XGBoost + Prophet Ensemble,True
2023-08-14,,9554.22,8814.22,10294.22,XGBoost + Prophet Ensemble,True
2023-08-21,,9823.85,9081.35,10566.35,XGBoost + Prophet Ensemble,True
2023-08-28,,9813.53,9068.53,10558.53,XGBoost + Prophet Ensemble,True
2023-09-04,,9729.29,8981.79,10476.79,XGBoost + Prophet Ensemble,True
2023-09-11,,10050.89,9300.89,10800.89,XGBoost + Prophet Ensemble,True
2023-09-18,,10054.02,9301.52,10806.52,XGBoost + Prophet Ensemble,True
2023-09-25,,10230.76,9475.76,10985.76,XGBoost + Prophet Ensemble,True
2023-10-02,,10312.74,9555.24,11070.24,XGBoost + Prophet Ensemble,True
2023-10-09,,10211.56,9451.56,10971.56,XGBoost + Prophet Ensemble,True
2023-10-16,,10377.17,9614.67,11139.67,XGBoost + Prophet Ensemble,True
2023-10-23,,10705.72,9940.72,11470.72,XGBoost + Prophet Ensemble,True
2023-10-30,,10824.17,10056.67,11591.67,XGBoost + Prophet Ensemble,True
2023-11-06,,10874.43,10104.43,11644.43,XGBoost + Prophet Ensemble,True
2023-11-13,,11045.41,10272.91,11817.91,XGBoost + Prophet Ensemble,True
2023-11-20,,11374.31,10599.31,12149.31,XGBoost + Prophet Ensemble,True
2023-11-27,,11252.66,10475.16,12030.16,XGBoost + Prophet Ensemble,True
2023-12-04,,11585.34,10805.34,12365.34,XGBoost + Prophet Ensemble,True
2023-12-11,,11637.19,10854.69,12419.69,XGBoost + Prophet Ensemble,True
2023-12-18,,11800.71,11015.71,12585.71,XGBoost + Prophet Ensemble,True
2023-12-25,,12164.82,11377.32,12952.32,XGBoost + Prophet Ensemble,True
