Customer_ID,Segment,Recency_Days,Frequency,Monetary_USD,RFM_Score,Churn_Risk,CLV_Estimate_USD,Pareto_Group
CUST_00001,Potential Loyalists,145,20,217.58,42.86,Medium,12396.0,Remaining 80%
CUST_00002,New Customers,201,22,430.31,48.8,Medium,24282.04,Remaining 80%
CUST_00003,At Risk,212,28,81.56,57.29,High,6720.51,Remaining 80%
CUST_00004,At Risk,220,40,256.36,83.02,High,18279.04,Remaining 80%
CUST_00005,Loyal Customers,240,49,24.56,98.66,Low,2315.38,Remaining 80%
CUST_00006,Loyal Customers,46,7,873.74,24.87,Low,19189.33,Pareto Top 20%
CUST_00007,Champions,35,1,88.74,5.67,Low,190.35,Remaining 80%
CUST_00008,New Customers,253,32,186.58,66.26,Medium,9229.22,Remaining 80%
CUST_00009,At Risk,82,13,29.3,27.5,High,688.51,Remaining 80%
CUST_00010,At Risk,256,30,303.03,63.42,High,17702.06,Remaining 80%
CUST_00011,Champions,197,23,936.67,55.87,Low,73563.11,Pareto Top 20%
CUST_00012,New Customers,303,19,268.91,41.02,Medium,13519.6,Remaining 80%
CUST_00013,Lost Customers,10,32,118.92,74.28,Critical,12807.06,Remaining 80%
CUST_00014,Loyal Customers,312,30,720.6,67.53,Low,57294.76,Remaining 80%
CUST_00015,Loyal Customers,286,29,797.49,66.32,Low,56863.08,Pareto Top 20%
CUST_00016,Loyal Customers,242,49,115.43,99.57,Low,12033.04,Remaining 80%
CUST_00017,Loyal Customers,251,45,756.7,97.96,Low,92372.93,Remaining 80%
CUST_00018,Potential Loyalists,5,29,1491.55,89.58,Medium,76924.43,Pareto Top 20%
CUST_00019,Potential Loyalists,119,30,110.99,61.94,Medium,10976.43,Remaining 80%
CUST_00020,Loyal Customers,289,16,756.98,39.91,Low,38256.74,Remaining 80%
CUST_00021,At Risk,65,40,636.48,87.88,High,54356.99,Remaining 80%
CUST_00022,Champions,146,19,340.82,42.09,Low,22053.2,Remaining 80%
CUST_00023,Loyal Customers,224,18,49.83,36.94,Low,2825.72,Remaining 80%
CUST_00024,Potential Loyalists,239,1,58.82,3.0,Medium,166.61,Remaining 80%
CUST_00025,Potential Loyalists,177,14,976.67,38.33,Medium,23839.86,Pareto Top 20%
CUST_00026,Lost Customers,267,47,2330.06,117.67,Critical,269014.74,Pareto Top 20%
CUST_00027,Loyal Customers,341,2,583.59,10.13,Low,2932.21,Remaining 80%
CUST_00028,Potential Loyalists,282,28,315.26,59.51,Medium,17346.51,Remaining 80%
CUST_00029,At Risk,63,49,541.46,104.98,High,44040.52,Remaining 80%
CUST_00030,Champions,217,30,471.19,65.17,Low,43162.61,Remaining 80%
CUST_00031,At Risk,342,38,261.94,78.91,High,17359.99,Remaining 80%
CUST_00032,Loyal Customers,315,4,53.94,8.86,Low,580.09,Remaining 80%
CUST_00033,Champions,283,1,881.62,11.17,Low,2973.61,Pareto Top 20%
CUST_00034,New Customers,177,8,252.48,19.09,Medium,6568.94,Remaining 80%
CUST_00035,New Customers,98,29,874.04,67.75,Medium,52101.22,Pareto Top 20%
CUST_00036,Lost Customers,105,39,165.52,80.6,Critical,20675.6,Remaining 80%
CUST_00037,Loyal Customers,99,3,20.52,7.21,Low,92.38,Remaining 80%
CUST_00038,Champions,311,32,106.55,65.39,Low,5235.02,Remaining 80%
CUST_00039,At Risk,6,10,336.06,37.65,High,9090.78,Remaining 80%
CUST_00040,Potential Loyalists,197,10,1463.92,35.14,Medium,32639.51,Pareto Top 20%
CUST_00041,Champions,351,19,73.9,39.02,Low,3191.41,Remaining 80%
CUST_00042,Potential Loyalists,133,46,982.79,102.57,Medium,118847.4,Pareto Top 20%
CUST_00043,Champions,358,34,394.36,72.22,Low,25255.29,Remaining 80%
CUST_00044,New Customers,259,33,894.12,75.33,Medium,56755.03,Pareto Top 20%
CUST_00045,Loyal Customers,23,23,197.18,52.14,Low,11198.18,Remaining 80%
CUST_00046,At Risk,53,28,936.13,67.21,High,78857.9,Pareto Top 20%
